2024-06-19 11:40:44.2846|WARN|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|The ASP.NET Core developer certificate is not trusted. For information about trusting the ASP.NET Core developer certificate, see https://aka.ms/aspnet/https-trust-dev-cert.
2024-06-19 11:40:44.5697|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7234
2024-06-19 11:40:44.5728|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098
2024-06-19 11:40:44.5728|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2024-06-19 11:40:44.5728|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2024-06-19 11:40:44.5728|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Thanay\source\repos\BookStore\BookStore
2024-06-19 11:40:47.3344|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/swagger - - -
2024-06-19 11:40:47.8335|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/swagger - 301 0 - 496.2216ms
2024-06-19 11:40:47.8389|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/swagger/index.html - - -
2024-06-19 11:40:47.9822|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/swagger/index.html - 200 - text/html;charset=utf-8 143.2417ms
2024-06-19 11:40:48.0224|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/swagger/swagger-ui.css - - -
2024-06-19 11:40:48.0381|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/swagger/swagger-ui-bundle.js - - -
2024-06-19 11:40:48.0381|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/swagger/swagger-ui-standalone-preset.js - - -
2024-06-19 11:40:48.0411|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/_framework/aspnetcore-browser-refresh.js - - -
2024-06-19 11:40:48.0411|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/_vs/browserLink - - -
2024-06-19 11:40:48.0617|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/_framework/aspnetcore-browser-refresh.js - 200 13754 application/javascript;+charset=utf-8 18.5958ms
2024-06-19 11:40:48.1219|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A'
2024-06-19 11:40:48.1219|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A'
2024-06-19 11:40:48.1219|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A'
2024-06-19 11:40:48.1219|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/swagger/swagger-ui.css - 200 143943 text/css 102.5716ms
2024-06-19 11:40:48.1219|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/swagger/swagger-ui-bundle.js - 200 1096145 text/javascript 90.7098ms
2024-06-19 11:40:48.1219|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/swagger/swagger-ui-standalone-preset.js - 200 339486 text/javascript 93.7925ms
2024-06-19 11:40:48.2578|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7234/_vs/browserLink - 200 - text/javascript;+charset=UTF-8 215.0299ms
2024-06-19 11:40:48.5435|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7234/swagger/v1/swagger.json - - -
